319,7469
318,6657
314,6344
305,5968
303,5797
300,5687
298,5406
293,5140
286,4969
285,4734
283,4531
283,4422
279,4172
276,4094
273,4125
269,3781
267,3610
265,3562
262,3469
258,3281
255,3281
252,3532
250,2968
245,2719
242,2734
240,2468
235,2390
233,2297
229,2203
226,2031
221,2094
219,1953
215,1891
213,1781
210,1672
207,1547
205,1594
201,1453
199,2234
195,1265
192,2016
189,1875
186,1813
181,1000
178,1000
175,907
173,3813
170,812
166,765
164,765
160,703
157,641
154,782
150,563
148,562
146,546
144,782
142,719
140,735
138,718
136,593
134,641
132,610
130,359
128,391
126,343
124,343
122,313
120,281
118,312
116,297
114,281
112,235
110,234
108,218
106,234
104,328
102,297
100,281
98,234
96,172
94,156
89,141
88,141
86,125
84,109
82,94
80,109
76,94
74,62
72,79
70,47
68,62
66,78
64,62
62,47
60,47
58,63
56,63
54,63
50,31
47,15
44,15
42,16
40,16
38,15
36,15
34,0
32,15
30,0
28,0
26,15
24,16
22,0
20,0
18,0
16,0
14,0
12,0
10,0
8,0
6,0
4,0
2,0
